district,state,city,distance
Unnao,Uttar Pradesh,Delhi,409.83626675066984
Lucknow,Uttar Pradesh,Delhi,420.6559671227484
Farrukhabad,Uttar Pradesh,Delhi,263.3743911159448
Kannauj,Uttar Pradesh,Delhi,307.0384561259859
Etawah,Uttar Pradesh,Delhi,284.18155338271737
Auraiya,Uttar Pradesh,Delhi,318.19285287938794
Kanpur Dehat,Uttar Pradesh,Delhi,357.73990733168586
Kanpur Nagar,Uttar Pradesh,Delhi,389.945808023268
Jalaun,Uttar Pradesh,Delhi,355.4742513607549
Jhansi,Uttar Pradesh,Delhi,373.32608407701485
Lalitpur,Uttar Pradesh,Delhi,455.32842944300717
Hamirpur,Uttar Pradesh,Delhi,424.4574136315006
Mahoba,Uttar Pradesh,Delhi,440.67211963616825
Banda,Uttar Pradesh,Delhi,487.20864976130605
Chitrakoot,Uttar Pradesh,Delhi,543.3960404963232
Fatehpur,Uttar Pradesh,Delhi,482.9119641592458
Pratapgarh,Uttar Pradesh,Delhi,554.4011710735602
Kaushambi,Uttar Pradesh,Delhi,545.3272657911465
Allahabad,Uttar Pradesh,Delhi,582.0295507990895
Bara Banki,Uttar Pradesh,Delhi,442.06261849492336
Faizabad,Uttar Pradesh,Delhi,531.7517940860758
Ambedkar Nagar,Uttar Pradesh,Delhi,590.6536335934222
Bahraich,Uttar Pradesh,Delhi,434.12410798332735
Shrawasti,Uttar Pradesh,Delhi,490.98727983592244
Balrampur,Uttar Pradesh,Delhi,529.9786811802952
Gonda,Uttar Pradesh,Delhi,497.2264668830828
Siddharthnagar,Uttar Pradesh,Delhi,581.2612518839761
Basti,Uttar Pradesh,Delhi,564.6973069184224
Sant Kabir Nagar,Uttar Pradesh,Delhi,614.8053359607267
Gorakhpur,Uttar Pradesh,Delhi,648.4041344878141
Kushinagar,Uttar Pradesh,Kolkata,644.9923761610602
Deoria,Uttar Pradesh,Kolkata,631.8337817407792
Azamgarh,Uttar Pradesh,Delhi,647.4140803775919
Mau,Uttar Pradesh,Kolkata,625.4517938777568
Ballia,Uttar Pradesh,Kolkata,565.1768354242715
Jaunpur,Uttar Pradesh,Delhi,612.9608296690157
Ghazipur,Uttar Pradesh,Kolkata,597.0052331043721
Chandauli,Uttar Pradesh,Kolkata,592.7097439880121
Varanasi,Uttar Pradesh,Kolkata,625.1152582492779
Mirzapur,Uttar Pradesh,Kolkata,640.3690463175188
Sonbhadra,Uttar Pradesh,Kolkata,578.4920317597855
Etah,Uttar Pradesh,Delhi,183.85992151194836
Kanshiram Nagar,Uttar Pradesh,Delhi,189.4094441270373
Budaun,Uttar Pradesh,Delhi,202.26463911145981
Ghaziabad,Uttar Pradesh,Delhi,32.467635046787116
Moradabad,Uttar Pradesh,Delhi,162.38970031889977
Muzaffarnagar,Uttar Pradesh,Delhi,106.78229843774892
Rae Bareli,Uttar Pradesh,Delhi,481.58230764733025
Sultanpur,Uttar Pradesh,Delhi,565.2993026283913
Uttarkashi,Uttarakhand,Delhi,295.1379771517585
Chamoli,Uttarakhand,Delhi,315.04831664561004
Rudraprayag,Uttarakhand,Delhi,274.5082114094591
Tehri Garhwal,Uttarakhand,Delhi,240.19663631009163
Dehradun,Uttarakhand,Delhi,206.35564559360364
Garhwal,Uttarakhand,Delhi,276.27573154021036
Pithoragarh,Uttarakhand,Delhi,361.7392464722522
Bageshwar,Uttarakhand,Delhi,308.41950888036786
Almora,Uttarakhand,Delhi,250.15729584174315
Champawat,Uttarakhand,Delhi,293.56417855297445
Nainital,Uttarakhand,Delhi,230.95691373173963
Udham Singh Nagar,Uttarakhand,Delhi,225.5078696328453
Hardwar,Uttarakhand,Delhi,173.39847261302657
Darjiling,West Bengal,Kolkata,462.86146555268317
Jalpaiguri,West Bengal,Kolkata,450.5660536560025
Koch Bihar,West Bengal,Kolkata,429.9232198877836
Uttar Dinajpur,West Bengal,Kolkata,367.72983423860023
Dakshin Dinajpur,West Bengal,Kolkata,311.9172080879975
Maldah,West Bengal,Kolkata,280.7123836416507
Murshidabad,West Bengal,Kolkata,177.66308563480794
Birbhum,West Bengal,Kolkata,178.455806068684
Nadia,West Bengal,Kolkata,102.92426736995697
Hugli,West Bengal,Kolkata,43.508718323025505
Bankura,West Bengal,Kolkata,133.8329115186248
Puruliya,West Bengal,Kolkata,216.74108613333829
Haora,West Bengal,Kolkata,3.99081321782213
Kolkata,West Bengal,Kolkata,0.0
Paschim Medinipur,West Bengal,Kolkata,100.84478897355208
Purba Medinipur,West Bengal,Kolkata,78.10498020500444
