district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc
Gir Somnath,Gujarat,23.4,980.6,920.77,99.5,98.2,74.27,46.8,87.55,46.63,30.75,9.89,0.94,74.14,57.83,51.12,39.92,1.22,0.38,9.46,0.12,12.37,23.98,48.59,80.69,89.32,35.36,95.63,1193.69,34.02,17.19,93.54,98.44,1.56,9.89,0.65,14.6,44.43,18.53,4.87,30.33,4.97,24.75,17.31,25.15,68.92,49.9,50.88,13.2,14.22,14.03,12.25,0.36,0.2,0.0,18.9,60.66,0.37,5.23,0.807,,
Jamnagar,Gujarat,20.95,1003.88,911.83,98.92,99.74,86.6,81.56,99.21,38.6,35.26,6.81,1.02,74.98,85.18,66.52,31.87,11.39,4.55,18.05,0.4,2.02,60.81,92.2,73.78,94.97,32.92,99.53,1149.51,55.42,23.29,80.04,97.61,2.39,4.04,2.07,10.73,28.35,23.8,12.54,28.86,3.61,17.26,29.54,35.35,74.99,50.22,60.13,15.29,15.5,18.07,15.01,0.34,0.34,0.34,7.65,52.03,0.23,1.3,0.863,24.0,10.0
Junagadh,Gujarat,21.58,999.37,875.95,99.26,97.04,81.68,67.18,97.41,47.25,34.96,11.23,4.95,75.24,48.01,42.32,25.87,2.91,1.98,11.14,0.0,13.75,26.52,69,72.54,88.17,28.01,100.0,1272.22,60.32,23.0,93.38,98.15,1.85,7.52,1.52,5.15,37.28,17.32,7.08,26.43,4.37,18.71,33.37,37.71,74.72,58.77,55.45,18.54,19.25,23.25,20.82,0.4,0.19,0.4,13.77,54.36,0.17,2.88,0.83,24.0,12.0
Kheda,Gujarat,23.65,934.29,867.86,96.9,97.69,63.34,47.95,89.79,32.2,24.19,49.17,10.43,65.33,29.78,28.65,21.44,0.98,0.76,5.32,0.0,16.52,13.79,49.25,61.2,83.2,26.98,98.07,2371.24,47.52,18.92,84.88,96.5,1.38,14.09,1.46,1.24,37.26,30.88,12.13,39.49,2.51,32.24,17.76,45.04,85.08,76.07,77.55,16.04,18.21,24.03,24.53,0.0,0.0,0.0,13.45,45.78,0.46,6.09,0.673,24.0,16.0
Mahisagar,Gujarat,25.39,992.53,963.32,95.17,94.79,44.42,47.44,96.57,46.0,33.91,30.66,6.09,59.39,73.34,59.12,44.55,1.19,3.12,8.68,0.7,6.77,44.25,83.11,76.63,89.41,45.72,97.35,2087.03,26.61,16.56,83.41,100,0,14.43,0.94,3.04,43.43,26.2,11.97,48.98,2.64,30.69,9.43,42.81,85.86,72.5,79.35,12.26,13.11,16.25,14.73,0.6,0.87,0.58,5.02,45.46,0.27,4.11,0.644,,
Morbi,Gujarat,22.57,980.52,858.32,99.86,98.33,80.08,73.64,98.11,34.41,35.38,8.89,3.38,66.2,73.29,58.69,26.66,9.71,4.96,16.93,0.22,10.24,44.4,81.99,75.11,89.95,43.02,96.67,1369.83,30.11,20.2,73.47,78.32,21.68,3.73,0.92,10.16,32.91,25.21,12.51,32.34,3.99,21.18,24.61,38.79,75.33,50.68,61.96,17.77,18.69,18.35,15.09,0.16,0.0,0.0,7.26,54.65,0.16,1.87,0.828,,
Panch Mahals,Gujarat,26.3,969.16,878.52,95.52,90.95,58.93,43.62,95.42,33.95,28.41,34.07,10.45,61.8,71.37,52.59,40.71,2.08,2.79,6.03,0.31,6.95,29.15,68.11,88.73,92.19,42.18,96.55,2680.4,24.67,9.88,95.44,99.06,0,13.67,0.93,3.04,47.12,35.71,19.65,51.85,3.36,33.05,16.07,50.5,90.95,69.75,71.67,13.81,15.21,22.46,27.55,0.0,0.0,0.15,7.76,42.2,0.37,7.74,0.656,24.0,17.0
Rajkot,Gujarat,21.96,974.72,1049.44,99.59,99.5,85.44,83.59,98.59,45.13,42.59,12.11,1.76,84.45,78.82,53.53,26.48,8.01,2.37,16.54,0.0,6.22,48.09,86.16,93.52,94.83,41.97,98.21,667.73,40.89,24.69,85.63,86.81,13.19,4.34,1.16,14.19,38.94,17.55,7.29,37.01,8.12,19.53,27.97,44.17,76.99,60.46,72.66,16.56,15.4,17.75,14.49,0.46,0.0,0.11,7.2,53.37,0.12,1.23,0.912,24.0,9.0
Sabar Kantha,Gujarat,26.55,986.84,870.62,95.34,90.72,60.97,58.71,94.55,49.32,31.1,26.96,6.11,68.41,66.4,55.51,37.3,4.32,2.18,10.97,0.12,9.17,21.82,64.03,73.24,90.66,24.58,99.11,1828.47,38.3,23.71,89.72,98.46,1.54,14.03,0.47,5.09,37.01,33.08,16.59,41.0,4.9,26.57,15.48,58.89,81.12,67.31,73.79,13.72,16.57,24.0,26.1,0.18,0.18,0.0,6.81,37.76,0.54,6.8,0.713,24.0,5.0
Surendranagar,Gujarat,23.65,957.42,992.12,99.43,96.88,63.75,56.92,97.55,50.44,23.28,19.52,6.3,52.82,75.99,65.71,47.26,3.39,4.28,10.34,0.0,8.25,25.06,75.53,57.45,90.68,25.37,98.57,1720.87,45.36,12.19,68.44,93.69,5.24,8.58,2.9,0.85,39.16,27.14,8.77,41.78,5.24,24.09,20.73,32.91,81.01,55.6,56.89,16.37,19.26,17.11,14.68,0.0,0.0,0.29,4.7,47.45,0.06,1.27,0.769,24.0,8.0
Vadodara,Gujarat,20.99,953.34,1186.27,97.28,99.49,85.62,78.1,94.57,41.66,46.41,22.77,10.31,72.35,58.49,49.06,32.54,2.8,1.7,12.02,0.0,11.37,17.46,44.48,65.92,93.07,41.31,96.59,1597.34,45.74,29.93,90.8,82.56,17.44,11.79,0.72,5.06,42.26,20.06,5.15,39.85,6.43,20.86,27.63,51.24,86.43,72.32,74.29,16.61,15.1,24.26,23.75,0.15,0.0,0.46,6.83,29.11,0.39,5.4,0.83,24.0,19.0
Panchkula,Haryana,23.09,936.23,853.65,99.46,99.2,82.62,81.13,97.64,19.9,60.28,7.4,1.37,96.15,76.59,58.96,25.22,3.53,3.0,26.76,0.24,7.01,23.94,72.3,76.91,90.29,54.97,100.0,4399.03,80.99,32.65,92.61,100,0.01,3.17,0.76,10.26,21.76,12.03,4.95,19.26,3.94,14.07,39.86,67.12,53.06,57.06,64.81,17.39,18.11,24.27,26.21,0.46,0.28,0.28,0.9,19.52,0.3,20.0,0.948,6.0,1.0
Ambala,Haryana,21.56,929.88,764.46,99.61,99.29,87.22,81.59,96.21,18.99,55.34,6.43,0.75,93.31,69.5,57.61,25.46,3.16,3.22,23.87,0.54,6.97,15.62,41.65,57.39,88.95,32.08,96.18,2873.67,61.65,34.21,86.93,92.77,2.87,5.63,5.75,17.38,24.11,10.85,3.97,13.73,6.18,14.82,41.62,62.53,64.18,46.06,49.15,11.67,12.98,28.84,31.24,2.87,0.86,0.24,0.8,21.96,0.44,18.81,0.92,6.0,2.0
Yamunanagar,Haryana,23.59,922.91,1102.93,99.76,100.0,83.54,77.71,94.36,20.62,51.18,6.9,2.34,91.61,79.11,57.98,19.48,3.35,2.75,30.31,0.26,4.24,28.03,73.55,66.42,90.79,36.31,93.65,1871.55,55.75,28.0,85.57,95.05,1.79,7.24,6.58,12.43,27.73,12.11,4.26,23.08,6.35,13.95,37.95,61.66,72.86,56.57,60.4,14.59,14.93,28.72,28.76,2.51,0.74,0.71,1.73,25.28,0.41,19.67,0.921,6.0,3.0
Kurukshetra,Haryana,24.69,941.08,869.18,99.59,99.93,82.63,77.58,97.05,19.19,48.4,11.68,3.9,92.34,68.38,62.95,21.98,4.65,3.77,30.13,0.25,9.45,20.23,76.02,59.75,92.13,51.44,98.22,1662.18,63.05,21.94,72.08,96.24,3.76,7.71,7.7,28.67,24.92,12.8,5.01,22.5,6.99,11.75,37.34,69.58,73.66,57.08,57.72,12.53,12.09,30.38,34.42,1.23,0.59,0.32,1.29,24.25,0.21,19.29,0.912,6.0,4.0
Kaithal,Haryana,24.4,928.91,804.36,99.99,98.45,89.72,55.91,96.97,29.08,45.9,11.03,4.69,92.06,76.52,60.97,36.38,3.98,1.47,15.39,0.43,4.83,12.52,58.5,68.77,96.53,46.83,97.9,1037.76,65.36,24.91,86.34,100,0.01,4.52,1.6,10.02,29.89,20.72,9.54,29.86,2.28,16.46,32.66,72.92,61.43,61.52,64.26,15.8,16.87,16.91,20.4,0.0,0.17,0.21,1.72,22.64,0.0,13.81,0.934,6.0,5.0
Karnal,Haryana,26.42,969.94,821.11,99.24,99.89,83.5,74.08,97.79,24.59,46.78,6.61,3.11,92.89,79.1,67.08,23.43,3.05,4.84,28.11,0.0,5.37,36.25,83.89,84.71,93.48,53.74,100.0,1046.8,62.47,18.71,84.61,93.93,6.07,4.41,5.12,19.24,29.16,9.78,4.84,20.53,2.93,14.88,36.49,72.55,78.33,61.89,61.51,9.43,9.02,17.64,21.21,0.7,0.43,0.43,2.63,26.58,0.3,22.01,0.925,6.0,6.0
Panipat,Haryana,25.98,916.78,937.57,99.6,99.85,79.32,72.95,97.19,26.48,52.12,11.92,5.71,94.04,70.13,55.35,22.84,4.98,2.51,21.89,1.11,7.3,17.26,62.94,49.2,85.05,23.16,93.19,1717.4,52.58,20.34,79.43,96.63,3.37,8.18,4.65,10.32,25.13,9.92,2.77,18.91,2.38,13.7,37.84,51.57,73.41,66.88,66.29,12.01,13.98,21.6,25.59,0.96,0.5,0.26,4.62,27.26,0.45,17.64,0.927,6.0,7.0
Sonipat,Haryana,23.51,843.82,906.08,99.33,97.17,86.65,69.93,96.63,22.36,56.82,15.51,2.91,97.51,78.72,59.94,30.03,6.68,3.65,18.02,0.23,4.8,20.26,58.61,64.07,90.64,32.22,96.37,1532.51,62.36,16.67,77.37,100,0.01,4.26,4.02,5.14,23.6,9.17,5.12,12.68,3.6,13.15,39.25,53.69,68.65,53.28,52.75,13.4,12.1,20.04,21.91,0.49,0.31,0.27,2.88,30.69,0.17,17.94,0.947,6.0,8.0
Jind,Haryana,25.84,976.78,849.93,99.98,96.17,88.52,42.11,95.86,23.68,45.28,8.68,1.93,96.2,79.21,65.15,39.54,8.58,2.73,12.37,0.37,5.35,25.14,76.21,49.63,88.68,27.5,95.38,1669.83,66.53,14.47,83.33,100,0,5.11,0.72,10.47,25.48,8.78,1.55,22.86,2.49,18.93,32.33,51.44,68.87,59.61,50.68,12.07,15.39,16.52,21.85,1.99,0.93,0.36,2.51,35.25,0.0,16.94,0.932,6.0,9.0
Fatehabad,Haryana,24.09,908.38,901.33,99.77,99.76,87.3,43.74,94.28,29.43,41.51,11.68,2.05,96.74,75.84,62.86,39.06,5.04,2.1,15.55,0.14,4.58,29.05,70.76,60.08,92.28,41.46,98.05,1011.89,58.91,22.16,96.71,98.34,1.66,3.6,0.63,11.17,24.62,16.01,5.26,26.55,1.06,19.84,29.81,53.96,59.3,62.3,66.49,16.09,16.95,17.5,20.11,0.68,0.0,0.21,0.79,23.53,0.5,14.16,0.925,6.0,10.0
Sirsa,Haryana,22.6,909.36,787.02,99.89,99.25,81.94,38.82,95.71,26.64,44.65,8.88,5.64,95.3,74.0,64.18,40.39,4.03,1.69,17.95,0.13,8.27,12.11,56.11,61.91,96.55,29.65,100.0,1704.97,67.32,27.21,*,*,*,5.15,0.93,9.11,24.98,12.61,5.09,23.44,0.72,20.8,29.26,63.69,70.06,61.89,64.86,15.39,23.6,19.87,26.8,0.0,0.0,0.61,1.1,21.74,0.28,12.93,0.902,6.0,11.0
Hisar,Haryana,25.77,939.23,856.38,99.74,99.33,89.11,44.8,95.75,27.88,43.85,8.88,3.61,96.41,74.42,64.55,42.85,4.89,2.56,13.05,0.54,8.9,24.43,69.59,69.91,97.76,34.37,99.44,975.1,46.1,18.23,90.6,94.18,4.69,4.66,2.17,2.62,27.79,16.42,5.13,21.44,1.8,18.46,30.15,56.42,70.5,63.76,63.55,12.59,16.7,19.39,28.63,0.0,0.0,0.17,1.83,34.53,0.2,14.17,0.93,6.0,12.0
Rohtak,Haryana,23.7,941.99,880.47,99.65,98.45,90.01,67.27,94.95,24.78,55.91,12.4,1.68,98.27,74.41,62.99,34.22,7.82,2.82,15.98,0.0,8.51,19.46,71.03,72.28,96.89,34.53,96.77,1957.36,62.06,19.85,88.13,96.47,3.53,3.77,1.93,5.95,28.86,12.54,2.87,22.06,4.06,15.9,35.9,58.62,76.18,65.29,63.11,14.27,14.8,20.73,24.5,0.37,0.17,1.06,2.75,30.51,0.27,17.63,0.941,6.0,14.0
Jhajjar,Haryana,22.95,981.67,1281.55,99.84,96.6,91.68,55.9,96.32,26.99,62.66,7.72,1.29,97.4,80.2,61.96,33.83,7.23,2.33,17.05,0.11,4.58,23.2,60.75,60.13,88.16,41.46,98.7,3315.74,60.62,21.28,84.12,100,0,3.7,0.31,15.39,15.59,8.0,3.52,9.67,6.25,10.07,43.47,55.11,76.86,60.14,65.19,10.22,11.79,20.95,26.77,0.78,0.21,0.21,2.57,34.07,0.12,14.72,0.972,6.0,15.0
Mahendragarh,Haryana,22.27,935.56,962.0,99.6,99.71,79.78,34.16,97.35,25.61,52.42,13.38,9.55,95.69,70.19,63.22,45.89,3.3,3.16,9.83,0.23,9.34,36.9,64.47,55.2,89.36,28.4,97.54,2496.94,65.33,22.62,70.07,97.8,2.2,4.73,0.76,8.73,25.15,8.38,2.09,15.35,4.96,14.28,29.51,69.44,72.32,61.22,67.25,10.33,12.29,21.57,25.8,0.13,0.13,0.13,2.31,32.89,0.37,13.91,0.927,6.0,16.0
Rewari,Haryana,22.64,884.53,787.38,100.0,99.73,86.4,54.92,97.67,25.33,58.72,5.75,4.72,94.82,70.61,64.38,37.67,3.36,5.44,14.7,0.69,8.5,32.88,70.38,63.78,94.41,29.1,99.43,1464.13,53.86,25.98,83.59,93.53,3.25,2.71,0.0,6.09,25.93,9.28,4.24,20.46,5.36,11.65,28.3,77.97,71.33,61.84,71.84,8.22,10.92,24.07,26.5,0.0,0.0,0.0,4.38,33.47,0.29,19.1,0.944,6.0,17.0
Gurgaon,Haryana,24.72,871.09,858.4,99.44,99.65,84.54,80.95,97.59,34.62,59.55,20.68,6.89,96.03,70.27,61.16,34.62,5.98,1.46,18.51,0.0,7.84,29.2,74.42,48.12,96.08,16.78,93.79,1389.15,56.94,18.57,80.05,94.01,5.99,4.46,0.0,10.13,22.05,15.71,4.22,22.23,2.56,9.02,24.32,64.67,67.72,67.48,77.62,13.46,15.39,16.51,22.41,0.0,0.26,0.0,2.86,32.62,0.49,18.51,0.939,6.0,18.0
Mewat,Haryana,40.63,914.04,891.29,98.63,97.06,71.67,22.01,93.38,11.49,13.89,28.69,7.6,58.08,37.83,28.17,11.16,2.34,3.25,6.12,2.62,19.63,29.83,62.22,45.88,84.81,5.68,95.99,1031.42,59.15,4.16,63.45,97.67,0,4.07,0.68,12.96,44.38,14.23,7.09,37.31,3.52,19.24,14.85,82.57,76.43,60.57,66.4,6.04,7.93,15.52,19.24,1.26,0.49,0.75,4.74,36.51,0.33,5.47,0.658,6.0,19.0
Faridabad,Haryana,24.96,889.86,954.65,100.0,97.85,84.16,89.26,95.41,32.8,55.55,15.33,2.77,95.45,77.48,58.21,22.42,5.68,2.37,23.93,0.37,7.38,23.79,91.7,51.23,81.43,25.01,95.01,1590.91,42.88,23.47,73.21,94.82,5.18,4.71,1.19,11.71,28.86,7.97,3.59,19.47,2.43,9.99,37.05,68.05,68.44,54.2,55.89,10.0,11.64,23.33,26.15,0.99,0.0,0.21,2.65,22.95,0.51,13.63,0.929,6.0,20.0
Palwal,Haryana,31.29,942.91,884.3,98.86,96.69,80.3,34.62,95.33,23.51,39.4,23.75,4.72,91.36,71.23,54.21,31.85,6.91,2.78,10.22,0.68,7.99,25.15,77.33,53.41,81.87,20.53,96.76,1584.07,46.49,11.65,74.39,97.6,1.21,5.57,2.14,21.15,30.95,9.89,4.17,21.02,3.68,15.79,27.38,59.85,71.57,57.18,59.67,8.61,11.09,21.94,23.2,0.55,0.17,0.43,6.96,30.94,0.11,13.34,0.873,6.0,21.0
Bhiwani,Haryana,24.81,984.94,898.8,99.97,97.51,89.67,36.55,94.52,28.24,47.02,15.03,3.36,95.5,71.99,67.15,49.69,3.62,2.06,11.09,0.13,9.32,32.98,66.39,60.36,92.69,30.29,93.29,1078.99,49.34,13.1,80.43,100,0,5.76,0.29,8.44,29.0,6.03,1.9,20.64,0.99,19.53,28.06,56.63,69.21,66.43,67.1,10.2,11.33,18.69,24.81,0.95,0.13,0.33,1.77,34.6,0.13,14.23,0.916,6.0,13.0
Charkhi Dadri,Haryana,23.38,963.6,1006.84,99.48,97.32,90.4,36.23,95.45,29.71,54.45,11.8,3.13,96.31,69.37,61.31,42.62,3.98,1.59,11.8,0.0,11.11,30.6,65.55,53.44,87.71,30.91,95.31,1606.81,55.94,14.18,89.29,100,0.01,4.06,0.33,11.51,23.91,10.64,2.58,16.87,1.76,16.96,28.75,56.99,67.21,72.64,71.11,10.33,13.43,20.61,22.85,0.0,0.0,0.0,1.89,38.27,0.12,11.96,0.962,,
Chamba,Himachal Pradesh,25.13,1073.13,1000.95,99.09,85.53,86.54,34.96,99.14,26.79,50.92,3.76,1.99,87.25,81.83,65.18,24.43,0.18,0.86,19.32,0.0,6.22,31.8,71.7,62.71,94.04,37.43,98.74,4252.41,64.88,10.52,100,100,0.01,1.98,1.58,19.87,42.56,15.39,5.78,25.96,9.0,14.62,23.21,61.11,46.54,43.71,47.42,10.63,11.48,17.76,23.15,0.18,0.0,0.0,2.46,40.28,0.6,40.46,0.854,2.0,1.0
Kangra,Himachal Pradesh,21.09,1050.7,795.2,99.66,98.57,73.33,49.14,98.71,36.36,69.85,1.53,0.82,88.99,59.05,52.0,32.56,1.29,1.13,16.41,0.0,11.82,15.78,52.24,56.28,78.81,38.46,96.36,2087.39,74.97,28.23,92.02,95.45,2.44,5.02,0.44,18.57,28.0,19.44,7.72,32.0,2.34,15.15,30.95,60.92,55.25,63.39,57.71,16.36,15.69,24.94,26.57,0.18,0.22,0.0,1.18,32.86,1.12,34.1,0.899,2.0,2.0
Lahul & Spiti,Himachal Pradesh,17.78,1077.18,1181.73,99.8,89.24,61.69,71.73,99.24,31.15,55.91,11.17,3.1,90.94,78.51,66.26,27.52,4.38,1.59,18.08,0.86,5.71,16.35,46.38,65.63,95.43,47.96,99.36,3532.76,75.93,17.73,100,95.49,4.51,6.53,1.27,19.67,28.46,16.29,10.32,18.44,7.44,9.91,26.94,61.88,90.96,82.05,85.77,6.74,8.5,14.98,19.22,1.21,0.19,0.36,1.7,33.49,1.82,47.87,*,2.0,3.0
Kullu,Himachal Pradesh,21.78,1008.03,1016.53,99.17,94.26,81.15,64.97,99.75,26.77,54.43,8.71,4.72,85.7,78.25,67.54,32.57,0.91,2.83,20.92,0.31,4.98,16.78,69.69,59.99,91.77,43.38,99.29,2919.02,66.8,13.59,94.97,92.9,2.84,8.5,0.5,28.74,35.94,16.07,5.76,25.58,11.21,11.0,29.78,65.15,75.27,52.82,55.54,9.36,9.08,17.42,20.55,0.65,0.56,1.41,1.43,33.61,0.95,33.65,0.857,2.0,4.0
Mandi,Himachal Pradesh,22.32,1159.46,839.74,99.5,96.46,86.98,38.59,98.91,41.33,71.84,6.27,6.25,92.41,81.4,71.26,50.52,0.58,1.06,17.57,0.13,7.07,14.21,44.78,70.25,95.52,39.93,100.0,2859.42,77.44,15.98,98,100,0.01,2.59,0.44,24.35,31.34,19.85,7.97,21.29,6.96,12.75,31.57,67.45,52.23,48.85,49.92,13.23,15.27,20.84,23.81,0.52,0.35,0.16,1.42,31.74,0.59,34.98,0.913,2.0,5.0
Hamirpur,Himachal Pradesh,20.32,1181.58,1073.02,99.66,98.0,85.48,44.73,99.17,32.03,76.12,3.53,2.75,94.34,57.72,51.41,34.98,1.3,1.1,12.42,0.0,12.56,17.28,32.7,59.43,82.79,33.47,97.81,4228.77,75.12,21.27,100,97.04,2.96,12.42,1.14,31.82,27.27,14.91,4.93,23.58,0.79,17.21,37.11,59.59,51.98,49.45,48.24,19.15,21.15,28.14,35.19,1.03,0.38,0.19,0.66,33.02,0.26,29.16,0.914,2.0,6.0
Una,Himachal Pradesh,21.8,1026.03,872.55,98.5,98.77,81.38,46.2,98.61,22.56,66.82,1.64,2.13,93.71,53.32,45.88,26.28,2.43,2.28,14.56,0.0,15.8,14.84,71.42,71.66,86.67,36.01,99.37,4902.56,52.18,39.08,93.82,96.58,3.42,9.24,0.39,8.77,24.69,13.07,5.89,25.79,2.76,16.3,41.17,58.2,58.73,60.75,62.96,20.07,20.36,27.1,27.15,0.53,0.9,1.7,0.76,31.01,0.19,23.92,0.92,2.0,7.0
Bilaspur,Himachal Pradesh,22.11,1095.52,874.7,99.97,92.85,80.82,35.78,98.67,35.41,64.24,10.03,3.19,94.41,80.79,70.31,53.05,0.44,1.45,12.35,0.15,7.23,25.02,49.82,81.35,92.4,48.92,99.28,3359.9,72.11,19.22,100,100,0.01,6.28,0.0,10.57,40.06,11.96,2.78,38.77,5.02,17.53,29.14,53.15,44.82,52.99,55.49,17.88,19.88,22.05,20.29,0.39,0.0,0.17,1.75,33.31,0.3,26.19,0.725,2.0,8.0
Solan,Himachal Pradesh,22.27,946.67,881.95,99.21,96.47,81.76,62.46,99.09,41.86,62.34,13.34,5.75,94.42,84.58,65.46,41.73,0.64,0.88,19.03,0.0,2.87,21.77,71.59,88.17,95.22,51.23,98.63,5400.68,67.95,25.15,100,97.01,2.99,2.96,3.96,19.03,32.32,20.94,5.58,26.65,5.66,11.88,29.73,61.78,50.41,47.51,44.33,10.8,13.38,21.71,22.29,1.32,0.71,0.31,2.86,29.03,0.52,27.35,0.914,2.0,9.0
Sirmaur,Himachal Pradesh,25.51,922.93,925.05,99.24,95.69,84.27,46.8,98.54,26.19,55.64,4.97,1.75,92.86,86.85,74.51,44.16,1.3,1.94,25.77,0.0,3.1,24.88,76.46,85.23,98.81,54.46,100.0,2585.66,70.05,16.68,93.72,100,0,3.3,2.82,9.91,28.62,18.53,9.09,24.18,6.6,16.13,23.16,61.51,58.47,50.13,54.08,10.08,9.87,19.09,20.77,0.0,0.0,0.0,4.1,27.26,0.33,22.19,0.903,2.0,10.0
Shimla,Himachal Pradesh,18.97,955.96,807.95,100.0,97.29,87.25,78.02,99.92,37.07,69.7,6.11,6.1,93.35,89.09,75.98,36.83,1.27,1.84,31.19,0.36,3.82,29.08,76.91,85.31,95.46,53.34,100.0,6658.44,81.88,12.85,98.18,97.06,2.94,1.58,3.79,18.33,27.07,15.49,7.79,14.93,8.05,9.94,28.4,63.32,59.05,46.49,51.91,10.4,14.06,19.92,23.51,3.54,1.06,0.0,1.53,31.69,0.45,34.39,0.913,2.0,11.0
Kinnaur,Himachal Pradesh,19.11,967.22,690.56,99.58,96.94,80.06,70.38,99.47,35.91,56.09,27.87,9.25,95.87,83.36,76.66,26.74,8.8,4.84,21.04,0.44,4.08,19.32,67.67,75.32,91.29,45.2,97.52,3884.29,76.35,18.59,91.73,100,0.01,7.35,0.81,6.76,32.16,11.3,4.26,18.92,8.99,9.86,26.36,59.49,75.57,51.72,52.4,7.93,7.3,18.49,22.76,0.82,0.23,0.0,1.99,44.13,0.87,50.57,0.879,2.0,12.0
Kupwara,Jammu & Kashmir,26.67,987.28,939.81,99.29,88.0,67.68,61.99,98.53,10.36,44.92,3.09,0.0,48.73,64.5,56.51,25.72,6.83,11.57,9.37,2.21,5.94,8.85,64.55,89.24,96.76,8.49,99.27,5108.06,88.74,51.71,100,100,0,9.04,8.88,17.04,24.89,25.06,14.67,25.52,8.8,5.06,21.27,95.28,78.79,73.46,80.99,6.53,7.92,18.13,18.85,0.78,0.4,0.4,6.8,49.84,0.0,0.16,0.804,1.0,1.0
Badgam,Jammu & Kashmir,22.32,936.91,843.48,99.47,95.75,77.01,71.12,98.93,5.22,48.18,1.54,1.03,75.34,59.91,57.72,18.96,7.4,8.39,12.45,9.83,4.19,13.68,55.38,66.5,97.48,12.43,93.36,5525.48,94.31,42.17,95.46,100,0.01,6.26,5.1,14.2,26.81,18.86,9.09,20.64,11.08,4.73,25.28,86.37,85.04,73.89,83.66,7.31,6.91,19.86,18.58,0.21,0.15,0.0,5.39,42.92,0.03,0.22,0.894,1.0,2.0
Punch,Jammu & Kashmir,27.2,945.63,1175.33,99.74,76.75,66.69,44.62,98.92,11.08,46.76,5.36,0.54,76.01,58.8,53.26,12.22,8.22,11.83,10.12,9.25,8.41,15.09,69.97,86.38,94.44,11.31,97.96,3640.97,84.21,30.92,92.11,100,0,5.97,3.83,9.55,25.89,15.62,6.56,18.8,4.53,6.76,16.21,91.21,54.27,54.07,74.52,7.84,7.03,17.89,16.32,0.0,0.38,0.56,2.29,38.76,0.31,2.37,0.818,1.0,5.0
Rajouri,Jammu & Kashmir,26.35,901.39,968.38,99.95,77.71,63.32,42.76,96.04,16.41,46.38,12.23,4.06,53.14,65.87,56.24,24.16,6.96,14.37,6.27,3.48,5.68,6.42,53.7,71.86,94.32,3.77,95.43,4199.03,84.92,28.97,98.08,96.77,3.23,10.66,6.06,7.65,30.27,22.47,12.02,32.43,5.2,4.77,22.69,86.49,76.37,60.64,71.96,7.97,8.4,16.54,13.83,0.19,0.21,0.0,3.18,44.8,0.11,8.16,0.817,1.0,6.0
Kathua,Jammu & Kashmir,19.75,893.61,1100.27,99.65,96.13,75.38,68.49,98.0,6.96,64.85,1.44,0.0,85.38,74.88,72.71,40.08,1.07,3.65,25.92,0.46,4.17,28.69,74.53,31.61,89.37,20.05,98.09,5660.71,93.83,29.9,100,100,0.01,2.14,1.03,24.61,21.8,22.53,13.05,25.87,18.57,5.3,38.15,96.63,67.02,53.59,71.8,12.44,11.84,18.91,23.57,0.84,0.35,0.78,2.07,33.26,0.45,21.07,0.928,1.0,7.0
Baramula,Jammu & Kashmir,24.81,954.89,952.32,98.71,93.33,77.73,76.48,99.05,6.53,35.89,3.75,0.0,61.97,31.14,28.17,14.1,2.09,4.95,4.45,1.59,15.74,11.9,55.91,75.19,88.2,13.08,95.98,9853.32,86.78,51.11,98.2,96.79,1.69,9.93,3.84,19.94,23.15,18.2,8.76,17.31,8.03,10.62,31.12,78.31,70.39,72.47,75.34,9.95,8.26,23.71,19.0,1.8,1.65,3.96,6.52,34.65,0.18,1.22,0.801,1.0,8.0
Bandipore,Jammu & Kashmir,25.48,969.88,999.7,98.97,89.79,66.83,77.85,98.51,9.07,35.87,1.76,0.0,64.43,41.38,34.57,18.13,1.7,6.33,6.28,1.55,13.75,11.95,61.09,82.62,91.1,8.77,97.49,6398.63,82.21,48.1,92.11,97.88,0,7.96,4.78,21.72,25.24,13.97,4.56,16.8,11.41,10.43,28.2,89.84,75.08,73.72,73.18,8.65,8.0,21.44,17.36,1.0,0.44,0.23,9.06,40.09,0.14,0.39,0.787,1.0,9.0
