district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc
Prakasam,Andhra Pradesh,23.08,1010.57,837.05,99.27,98.57,78.43,90.78,85.46,67.58,34.54,37.28,16.42,86.64,68.96,68.72,68.72,0.0,0.0,0.0,0.0,4.8,25.41,18.91,73.4,92.23,51.78,92.84,*,18.11,54.15,*,*,*,7.88,2.88,13.44,22.56,8.73,3.32,24.65,5.13,14.39,39.48,50.48,62.61,60.43,64.82,23.2,30.15,27.83,33.04,4.06,0.23,9.95,2.22,28.22,0.28,19.04,0.868,28.0,8.0
Sri Potti Sriramulu Nello,Andhra Pradesh,20.8,1048.5,1010.6,99.11,95.63,81.75,84.56,85.61,72.27,38.67,23.84,14.87,84.01,71.88,71.74,71.36,0.0,0.0,0.26,0.0,3.11,19.66,21.7,72.95,94.16,51.75,92.82,1103.69,34.86,42.26,80.06,91.25,8.75,8.94,3.91,6.87,29.22,17.18,6.93,27.84,0.52,15.22,39.53,47.63,67.45,59.39,68.64,21.8,21.12,22.96,25.05,10.21,0.82,6.71,4.38,26.47,0.27,25.9,*,,
Y.S.R.,Andhra Pradesh,24.1,1058.05,779.03,99.75,99.85,85.35,94.25,80.24,73.34,39.95,25.56,10.86,92.51,69.05,68.38,68.13,0.25,0.0,0.0,0.0,5.52,29.53,14.57,82.75,93.41,39.68,97.72,3389.39,40.73,36.2,89.65,98.29,1.71,5.91,2.31,5.54,34.43,14.11,4.2,26.7,0.22,15.91,33.86,30.58,60.6,56.13,60.18,18.4,22.32,23.23,27.34,13.44,0.85,3.64,3.07,18.01,0.15,16.03,0.888,,
Kurnool,Andhra Pradesh,25.91,1044.64,917.86,99.88,97.88,73.48,78.08,70.41,73.32,33.38,36.94,12.37,78.86,70.03,70.03,69.46,0.0,0.15,0.41,0.0,2.11,20.65,22.19,74.25,91.27,43.34,95.55,2093.59,51.06,32.94,80.35,100,0,4.46,4.16,9.62,50.53,16.72,5.96,46.28,1.13,20.64,29.01,42.06,70.75,58.58,61.14,15.05,20.56,26.99,31.75,2.31,0.19,2.91,2.11,19.94,0.41,19.99,0.795,28.0,11.0
Anantapur,Andhra Pradesh,24.26,1047.36,881.3,99.61,98.8,71.25,86.42,88.6,73.24,31.25,37.29,13.6,95.01,67.58,67.58,67.15,0.0,0.0,0.13,0.0,6.35,21.9,36.42,66.61,97.52,38.54,100.0,2681.89,60.3,22.16,96.61,91.79,8.21,2.51,2.63,2.91,35.96,19.32,4.02,40.59,0.3,21.85,29.33,46.26,55.75,50.45,50.0,14.2,16.75,23.41,26.67,1.01,0.37,4.01,5.03,20.54,0.55,16.84,0.847,28.0,12.0
Chittoor,Andhra Pradesh,22.59,1024.32,1019.3,99.74,98.46,74.62,86.63,85.53,70.66,40.33,28.06,19.73,94.66,69.04,68.87,67.86,0.0,0.0,0.84,0.0,6.0,21.31,29.13,65.28,97.79,43.68,98.18,2532.61,66.53,26.44,87.49,100,0.01,4.78,3.08,5.96,27.06,14.82,6.25,27.91,0.5,20.13,33.41,41.66,54.87,51.8,43.9,17.15,22.42,22.73,27.06,2.23,0.26,3.95,4.3,18.7,0.43,18.3,0.875,28.0,13.0
Tawang,Arunachal Pradesh,27.33,1062.73,833.74,99.72,99.77,81.7,88.1,99.87,33.5,39.24,11.92,1.41,88.43,62.09,56.33,9.06,10.42,29.46,1.67,1.29,14.63,24.82,67.67,37.61,85.33,14.58,99.58,5344.81,83.84,17.31,76.79,100,0,14.76,6.24,18.76,30.37,7.1,1.89,9.04,21.14,1.17,35.44,68.32,89.61,59.07,76.33,4.51,8.51,30.28,36.37,0.99,0.82,0.73,5.07,23.97,23.41,43.2,0.938,12.0,1.0
West Kameng,Arunachal Pradesh,21.68,970.52,766.48,97.5,99.76,88.88,88.93,98.86,38.29,43.58,12.46,1.37,90.27,53.81,47.81,17.06,7.26,17.19,3.39,1.32,17.03,24.29,68.05,27.59,64.42,1.45,90.09,7645.46,92.03,10.02,60.97,100,0.01,10.02,2.54,19.68,24.23,23.16,11.91,13.44,15.53,1.94,25.74,76.82,66.62,37.36,50.86,4.67,9.99,19.76,30.71,0.04,0.49,0.23,13.85,38.72,19.54,45.87,0.892,12.0,2.0
East Kameng,Arunachal Pradesh,31.23,985.38,995.41,86.28,93.58,75.55,49.47,98.92,25.05,31.84,26.51,8.05,85.4,64.88,57.44,23.62,10.61,14.62,6.19,0.82,9.74,13.73,77.53,29.12,73.09,1.15,93.01,8611.61,74.18,9.02,78.34,98.02,0,7.26,2.38,26.39,35.67,15.84,8.45,14.24,10.23,4.75,19.64,68.7,51.65,26.21,39.51,8.9,13.89,19.54,28.98,0.62,0.22,0.72,24.9,48.16,27.39,49.75,0.681,12.0,3.0
Papum Pare,Arunachal Pradesh,30.51,1039.37,1065.42,98.72,92.89,75.7,81.3,99.96,26.94,50.46,25.43,5.95,95.42,47.67,41.03,15.73,5.57,10.6,4.8,0.94,20.31,20.7,73.08,39.28,73.99,13.29,91.42,17185.22,77.31,16.53,74.3,94.58,2.94,4.61,1.92,24.92,29.72,8.95,4.99,15.62,9.13,5.3,31.08,67.98,53.38,38.44,44.36,9.47,12.8,20.61,32.68,2.64,1.17,1.97,16.14,43.66,16.1,42.69,0.85,12.0,4.0
