st,dc,hh_size_mean,hh_size_median,hce1_mean,hce1_median,hce2_mean,hce2_median,hce3_mean,hce3_median,hce4_mean,hce4_median,hce5_mean,hce5_median,hce_tot_mean,hce_tot_median,mult_total,relg_2_pct,relg_4_pct,relg_1_pct,relg_3_pct,relg_9_pct,relg_6_pct,relg_5_pct,relg_7_pct,sg_9_pct,sg_3_pct,sg_1_pct,sg_2_pct
1,1,5.152881949239712,5.0,5347.786607513329,5000.0,930.8903117226125,1000.0,439.83231639302676,0.0,12748.871786661613,13000.0,14271.340239370435,15000.0,8970.214866167442,8558.0,181588174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5862068965517241,0.41379310344827586,0.0,0.0
1,2,5.530886138285239,4.5,8545.973604354082,7725.0,1838.127404779612,1000.0,70.06420425002756,0.0,16482.909199388232,15000.0,6766.398205395463,6000.0,12391.690744032552,10987.5,63677093,0.9711538461538461,0.028846153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.9326923076923077,0.0,0.0673076923076923,0.0
1,5,4.8005795406324765,5.0,15914.05088571047,12000.0,3784.3428943836725,4000.0,355.64640517259073,300.0,13048.177984161568,8000.0,6040.583639742738,2350.0,21644.66643552987,17425.0,87658047,0.7386363636363636,0.022727272727272728,0.23863636363636365,0.0,0.0,0.0,0.0,0.0,0.5,0.011363636363636364,0.48863636363636365,0.0
1,6,4.8699418031183255,4.0,13838.32318789777,10000.0,2872.980005781573,2550.0,304.04403259480387,300.0,12541.179367375078,10000.0,12683.114868771716,5000.0,19117.398345610593,15141.5,141359464,0.5855263157894737,0.06578947368421052,0.34868421052631576,0.0,0.0,0.0,0.0,0.0,0.46710526315789475,0.03289473684210526,0.45394736842105265,0.046052631578947366
1,7,5.0671679324369014,4.0,14249.659560480195,12000.0,2290.6432691819323,2000.0,254.1327813779725,225.0,13293.262220035072,10000.0,11426.169467819916,3750.0,18854.41254428221,15108.0,108878370,0.0661764705882353,0.022058823529411766,0.8823529411764706,0.022058823529411766,0.007352941176470588,0.0,0.0,0.0,0.5661764705882353,0.14705882352941177,0.10294117647058823,0.18382352941176472
1,8,4.768227265541957,4.0,5461.374704818518,5000.0,909.6863015904014,800.0,636.6555676682846,500.0,13509.203408256279,12000.0,16007.02765609236,15000.0,9467.36420125622,8458.5,146770301,0.9637096774193549,0.028225806451612902,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.7903225806451613,0.20967741935483872,0.0,0.0
1,9,5.328603113807519,5.0,5039.36881140032,5500.0,1052.8210984731213,1050.0,599.111044735868,800.0,10853.732520164798,12000.0,12941.536966834654,12000.0,8674.276728629018,9358.5,64060029,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5227272727272727,0.38636363636363635,0.09090909090909091,0.0
1,10,4.259576281836457,4.0,12784.09445045262,10000.0,213.39308500483858,0.0,104.74798030785146,0.0,16198.43660054567,15000.0,9838.30298062141,6500.0,15272.009856265724,12517.0,150322043,0.9623287671232876,0.015410958904109588,0.02226027397260274,0.0,0.0,0.0,0.0,0.0,0.9845890410958904,0.010273972602739725,0.005136986301369863,0.0
1,11,5.2090002527448345,5.0,7788.265799601966,7549.0,1760.6425326083809,1250.0,62.138526698707715,0.0,20542.02734400391,19000.0,11546.32432827991,9000.0,12285.17086890904,11561.0,59922095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,12,5.2352998188706605,5.0,6404.479531001274,5100.0,1635.6898170478105,1350.0,792.892174921253,650.0,16223.942924216568,12000.0,20677.110629810355,18750.0,11908.044861764774,10354.0,46553474,0.9722222222222222,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,13,5.2795185456622065,5.0,7971.382283711866,6350.0,1522.9475152440114,1300.0,731.3586139047894,800.0,11358.497074066616,9500.0,20953.964288310566,17000.0,12918.447611149486,10970.5,65533276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9270833333333334,0.020833333333333332,0.052083333333333336,0.0
1,14,5.20933131895166,5.0,6357.205878860182,5600.0,1551.6868343400288,1200.0,731.4166976153814,550.0,15693.298054205694,12250.0,23220.140008998373,21000.0,11883.117362698124,10938.0,132248357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959677419354839,0.0,0.004032258064516129,0.0
